model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
mistralai/Pixtral-12B-2409,0.0,644.0,12.233673674563157,Hidden Root,2025-05,29.0,0.1877114771442029
mistralai/Pixtral-12B-2409,0.0,652.0,2.0700734271215087,Hidden Root,2025-06,73.0,0.1671328586157394
mistralai/Pixtral-12B-2409,3424.0,657.0,2.292225422020685,Popular Root,2025-07,46.0,0.1616196593713486
mistralai/Pixtral-12B-2409,1796.0,661.0,2.6821066031574095,Popular Root,2025-08,37.0,0.1789208319783163
mistralai/Pixtral-12B-2409,5498.0,667.0,44.160422885916375,Popular Root,2025-09,56.0,0.1745556870024762
mistralai/Pixtral-12B-2409,3754.0,670.0,22.442640721266503,Popular Root,2025-10,56.0,0.2497182525588382
mistralai/Pixtral-12B-2409,4326.0,670.0,29.58456891045613,Popular Root,2025-11,89.0,0.1764457011105828
mistralai/Pixtral-12B-2409,5354.0,674.0,80.90679711806156,Popular Root,2025-12,55.0,0.1615341957713476
mistralai/Pixtral-12B-2409,13853.0,674.0,3.781533111520236,Popular Root,2026-01,30.0,0.1954875292731835
mistralai/Pixtral-12B-2409,26423.0,678.0,20.456803023460807,Popular Root,2026-02,45.0,0.2434687593373653
mistralai/Pixtral-Large-Instruct-2411,382.0,357.0,0.4116314150391442,Popular Root,2024-11,82.0,0.2028459520811253
mistralai/Pixtral-Large-Instruct-2411,0.0,380.0,81.95003835624833,Hidden Root,2024-12,51.0,0.1918775380863641
mistralai/Pixtral-Large-Instruct-2411,8.0,394.0,1.2700391139194347,Hidden Root,2025-01,119.0,0.1811518922358358
mistralai/Pixtral-Large-Instruct-2411,17.0,396.0,1.1053615734456048,Hidden Root,2025-02,111.0,0.1825346650438559
mistralai/Pixtral-Large-Instruct-2411,21.0,404.0,14.18907451575686,Hidden Root,2025-03,61.0,0.1913654759481211
mistralai/Pixtral-Large-Instruct-2411,0.0,410.0,1.1136690808820082,Hidden Root,2025-04,48.0,0.2265555325290591
mistralai/Pixtral-Large-Instruct-2411,0.0,414.0,1.1426968711642755,Hidden Root,2025-05,29.0,0.1877114771442029
mistralai/Pixtral-Large-Instruct-2411,0.0,418.0,1.0963722446461446,Hidden Root,2025-06,73.0,0.1671328586157394
mistralai/Pixtral-Large-Instruct-2411,97.0,419.0,1.0521484827316858,Popular Root,2025-07,46.0,0.1616196593713486
mistralai/Pixtral-Large-Instruct-2411,29.0,420.0,1.1362580459449185,Hidden Root,2025-08,37.0,0.1789208319783163
mistralai/Pixtral-Large-Instruct-2411,37.0,422.0,1.0589037435432103,Hidden Root,2025-09,56.0,0.1745556870024762
mistralai/Pixtral-Large-Instruct-2411,65.0,424.0,1.0364896731959272,Popular Root,2025-10,56.0,0.2497182525588382
mistralai/Pixtral-Large-Instruct-2411,118.0,426.0,1.2355638510068314,Popular Root,2025-11,89.0,0.1764457011105828
mistralai/Pixtral-Large-Instruct-2411,76.0,430.0,1.138712775226434,Popular Root,2025-12,55.0,0.1615341957713476
mistralai/Pixtral-Large-Instruct-2411,77.0,430.0,0.9923398035730202,Popular Root,2026-01,30.0,0.1954875292731835
mistralai/Pixtral-Large-Instruct-2411,972.0,431.0,1.1457639788907874,Popular Root,2026-02,45.0,0.2434687593373653
