month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2025-06,0.9,percentile_with_ties,552524,31533,0.05707082407280046,24052,0.043531140728728525,23730,0.042948360614199564,473209,0.8564496745842715,estimable,2.0,0.0,561728165.0,0.0,-0.9683723788793335,0.9683723788793335,73.0,0.1671328586157394,375,59,55585,55263,False
2025-06,0.95,percentile_with_ties,552524,12056,0.021819866648326587,15596,0.028226828155881012,15571,0.028181581252579073,509301,0.9217717239432133,estimable,2.0,0.0,241972357.5,0.0,-0.9928105798836986,0.9928105798836986,225.0,0.2702684380322936,82,0,27652,27627,False
2025-07,0.5,percentile_with_ties,574437,287431,0.5003699274245914,222085,0.3866133274841279,2833,0.0049317853829053,62088,0.1080849597083753,estimable,1.0,0.0,479638563.5,0.0,-0.5246785421236584,0.5246785421236584,2.0,0.0435852915536037,232434,62335,509516,290264,False
2025-07,0.7,percentile_with_ties,574437,155598,0.2708704348779762,50148,0.0872993905336877,18417,0.0320609570762329,350274,0.6097692175121031,estimable,1.0,0.0,826140235.5,0.0,-0.7890038059424247,0.7890038059424247,4.0,0.0611796913861626,41398,8978,205746,174015,False
2025-07,0.8,percentile_with_ties,574437,90261,0.157129502451966,29699,0.0517010568608916,25172,0.0438202970908907,429305,0.7473491435962516,estimable,1.0,0.0,725228964.0,0.0,-0.9401959188950666,0.9401959188950666,8.0,0.0985803833577675,6333,1167,119960,115433,False
2025-07,0.85,percentile_with_ties,574437,60694,0.1056582358030558,25513,0.0444139218051762,25480,0.0443564742521808,462750,0.8055713681395871,estimable,2.0,0.0,635905697.0,0.0,-0.9564184903796082,0.9564184903796082,18.0,0.1273786177916263,1666,79,86207,86174,False
2025-07,0.9,percentile_with_ties,574437,35782,0.062290555796371,21922,0.0381625835383166,21662,0.0377099664541107,495071,0.8618368942112016,estimable,2.0,0.0,465474297.5,0.0,-0.960410301281288,0.960410301281288,46.0,0.1616196593713486,603,0,57704,57444,False
2025-07,0.95,percentile_with_ties,574437,14441,0.0251393973577607,14284,0.0248660862722979,14284,0.0248660862722979,531428,0.9251284300976436,estimable,3.0,0.0,203308433.0,0.0,-0.992900910920848,0.992900910920848,154.0,0.2647751352530845,116,4,28725,28725,False
2025-08,0.5,percentile_with_ties,595863,310192,0.5205760384517918,0,0.0,8453,0.014186146815627,277218,0.4652378147325811,not_estimable_empty_group,0.0,,,,,,3.0,0.0498393029034701,46174,42800,310192,318645,False
2025-08,0.7,percentile_with_ties,595863,165785,0.2782267064744748,54537,0.0915260722682898,17780,0.0298390737468176,357761,0.6004081475104177,estimable,1.0,0.0,835075751.5,0.0,-0.7223954427034429,0.7223954427034429,5.0,0.0747589543552051,46022,12639,220322,183565,False
2025-08,0.8,percentile_with_ties,595863,93489,0.1568968034598557,32756,0.054972367809379,26936,0.0452050219597457,442682,0.7429258067710195,estimable,1.0,0.0,840266544.5,0.0,-0.9046847392532154,0.9046847392532154,9.0,0.1058568730272497,14674,1597,126245,120425,False
2025-08,0.85,percentile_with_ties,595863,64127,0.1076203758246442,26819,0.045008668099882,25447,0.0427061254013086,479470,0.804664830674165,estimable,2.0,0.0,665294084.0,0.0,-0.949685164879678,0.949685164879678,15.0,0.1384184181414999,2204,409,90946,89574,False
2025-08,0.9,percentile_with_ties,595863,37673,0.0632242646380124,22519,0.0377922441903591,21946,0.0368306137484623,513725,0.862152877423166,estimable,2.0,0.0,485902120.0,0.0,-0.9664110851973248,0.9664110851973248,37.0,0.1789208319783163,661,68,60192,59619,False
2025-08,0.95,percentile_with_ties,595863,14921,0.0250409909660442,14907,0.0250174956323852,14873,0.0249604355363565,551162,0.924981077865214,estimable,3.0,0.0,220462224.0,0.0,-0.9887278265026668,0.9887278265026668,128.0,0.2913976800617487,128,0,29828,29794,False
2025-09,0.5,percentile_with_ties,614625,374477,0.6092772015456579,0,0.0,21863,0.0355712833028269,218285,0.3551515151515151,not_estimable_empty_group,1.0,,,,,,3.0,0.0443925623813295,185327,179978,374477,396340,False
2025-09,0.7,percentile_with_ties,614625,166774,0.2713426886312792,22376,0.0364059385804352,25939,0.0422029692902176,399536,0.6500484034980679,estimable,1.0,0.0,509418144.0,0.0,-0.7553702043143684,0.7553702043143684,4.0,0.0573765545333307,28036,14517,189150,192713,False
2025-09,0.8,percentile_with_ties,614625,99696,0.1622062233068944,28308,0.0460573520439292,23966,0.0389928818385194,462655,0.7527435428106569,estimable,2.0,0.0,659786429.5,0.0,-0.9450404272498,0.9450404272498,8.0,0.0974931125946533,5652,1203,128004,123662,False
2025-09,0.85,percentile_with_ties,614625,68913,0.1121220256253813,24443,0.0397689648159446,23477,0.0381972747610331,497792,0.8099117347976409,estimable,2.0,0.0,562491222.0,0.0,-0.9604178010728692,0.9604178010728692,17.0,0.1331776871439885,2011,402,93356,92390,False
2025-09,0.9,percentile_with_ties,614625,39994,0.0650705714866788,21534,0.0350359975594874,21498,0.0349774252593044,531599,0.8649160056945292,estimable,2.0,0.0,454369168.5,0.0,-0.9629809401749349,0.9629809401749349,56.0,0.1745556870024762,356,54,61528,61492,False
2025-09,0.95,percentile_with_ties,614625,15176,0.0246914785438275,15561,0.0253178767541183,15556,0.0253097417124262,568332,0.9246809029896278,estimable,2.0,0.0,240661395.0,0.0,-0.98838733501277,0.98838733501277,233.0,0.2619543363433316,78,0,30737,30732,False
2025-10,0.5,percentile_with_ties,634093,634093,1.0,0,0.0,0,0.0,0,0.0,not_estimable_empty_group,,,,,,,0.0,0.0,348025,324679,634093,634093,False
2025-10,0.7,percentile_with_ties,634093,176765,0.2787682563914126,51861,0.0817876872950813,19275,0.0303977492260598,386192,0.6090463070874461,estimable,1.0,0.0,951967405.5,0.0,-0.9046571045904884,0.9046571045904884,2.0,0.0784365434086822,40533,10109,228626,196040,False
2025-10,0.8,percentile_with_ties,634093,102100,0.161017390193552,28442,0.0448546191173849,24848,0.0391866808181134,478703,0.7549413098709495,estimable,2.0,0.0,686653440.5,0.0,-0.9431933951123768,0.9431933951123768,8.0,0.1483759109315615,5720,1219,130542,126948,False
2025-10,0.85,percentile_with_ties,634093,72510,0.1143523110963218,24262,0.0382625261594119,22607,0.0356524989236594,514714,0.8117326638206067,estimable,2.0,0.0,537608969.0,0.0,-0.9603199894786248,0.9603199894786248,18.0,0.1961973051302416,1722,8,96772,95117,False
2025-10,0.9,percentile_with_ties,634093,42382,0.0668387760155056,21358,0.0336827563149254,21136,0.0333326499425163,549217,0.8661458177270527,estimable,2.0,0.0,438381577.0,0.0,-0.9422221729360664,0.9422221729360664,56.0,0.2497182525588382,486,181,63740,63518,False
2025-10,0.95,percentile_with_ties,634093,15313,0.0241494544175696,16535,0.0260766165215512,16392,0.0258510975519363,585853,0.9239228315089428,estimable,3.0,0.0,268690625.5,0.0,-0.9826514198625952,0.9826514198625952,170.0,0.3710781689205129,150,0,31848,31705,False
2025-11,0.5,percentile_with_ties,652368,357428,0.5478932136462855,0,0.0,8935,0.0136962573271527,286005,0.4384105290265617,not_estimable_empty_group,1.0,,,,,,3.0,0.0423817141248397,58582,52625,357428,366363,False
